url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11493,631.5509999999999,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.700948403375968e-05,0.125,0.0,0,20260512_192307,2026-05-12T19:23:14.149710,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,True,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,recon_redirect_hop,2026-05-12T19:23:14.150144
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11493,5615.024,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.700948403375968e-05,0.125,0.0,0,20260512_193958,2026-05-12T19:40:14.159808,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,True,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,recon_redirect_hop,2026-05-12T19:40:14.160276
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10262,579.964,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.744689144416291e-05,0.125,0.0,0,20260514_195110,2026-05-14T19:51:18.394483,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,True,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,recon_redirect_hop,2026-05-14T19:51:18.395106
66,1,0,0,0,0,0,1,0,57,1,net,200,2,13233,616.229,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,27,23,4,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0.0,7.556865412227008e-05,0.125,0.0,0,20260514_195440,2026-05-14T19:54:46.113836,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,True,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,https://0a0600c704e16428848a6d3700a10005.web-security-academy.net/,recon_redirect_hop,2026-05-14T19:54:46.114309
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8466,657.9300000000001,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,11,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0.0,0.0001181195369714,0.125,0.0,0,20260513_170608,2026-05-13T17:06:15.066662,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,True,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,recon_redirect_hop,2026-05-13T17:06:15.067084
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8466,637.414,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,11,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0.0,0.0001181195369714,0.125,0.0,0,20260513_182048,2026-05-13T18:20:53.115707,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,True,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,https://0a14000f04a88373807e0302007f001e.web-security-academy.net/,recon_redirect_hop,2026-05-13T18:20:53.116299
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8185,604.808,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,21,20,1,1,25,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0.0,0.000122174709835,0.125,0.0,0,20260512_110423,2026-05-12T11:04:28.928694,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,True,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,recon_redirect_hop,2026-05-12T11:04:28.931504
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8236,616.341,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,11,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0.0,0.0001214181641573,0.125,0.0,0,20260512_204923,2026-05-12T20:49:29.902675,https://0a34008a03acf942819a347000670041.web-security-academy.net/,https://0a34008a03acf942819a347000670041.web-security-academy.net/,True,https://0a34008a03acf942819a347000670041.web-security-academy.net/,https://0a34008a03acf942819a347000670041.web-security-academy.net/,https://0a34008a03acf942819a347000670041.web-security-academy.net/,recon_redirect_hop,2026-05-12T20:49:29.903120
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11506,642.083,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.691117677733357e-05,0.125,0.0,0,20260512_223538,2026-05-12T22:35:45.265115,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,True,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,recon_redirect_hop,2026-05-12T22:35:45.265574
66,1,0,0,0,0,0,1,0,57,1,net,200,2,6263,666.107,1,1,3,0,unknown,0,html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,1,15,13,2,1,6,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0.0,0.0006386715631486,0.0,0.0,0,20260513_111047,2026-05-13T11:10:54.454207,https://0a4000f403e1839f80f9581900f40063.web-security-academy.net/,https://0a4000f403e1839f80f9581900f40063.web-security-academy.net/,True,https://0a4000f403e1839f80f9581900f40063.web-security-academy.net/,https://0a4000f403e1839f80f9581900f40063.web-security-academy.net/,https://0a4000f403e1839f80f9581900f40063.web-security-academy.net/,recon_redirect_hop,2026-05-13T11:10:54.454664
