scan_id,trace_id,parent_trace_id,baseline_trace_id,source_module,label_target_value,label_candidate_family,label_confirmed_family,label_source,label_confidence,human_reviewed,validation_tool,analyzer_route,analyzer_reason
20260430_224202,31f8ea11f59f43a480246d67719519c6,,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,authenticated context can support object comparison; html response lacks csp signal; override style request header present; html response has weak security header coverage
20260430_224202,3bcdef3960fa4461ae03e13ab3891d22,31f8ea11f59f43a480246d67719519c6,,recon.response_analysis,0,idor_candidate,,response_analysis,0.08,False,,skip_heavy_scan,authenticated context can support object comparison
20260430_224202,046042edd594456e9427adbc2409c6af,,,path_analyze.page.depth_0,1,header_misconfiguration_candidate,,path_crawl_page,0.46,False,,run_header_scan,authenticated context can support object comparison; html response lacks csp signal; html response has weak security header coverage
20260430_224202,19d2c6b5cbf5430fa75b1be5bd98c10c,046042edd594456e9427adbc2409c6af,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,1e537bbf0c644bed999c9759cdbd04c2,046042edd594456e9427adbc2409c6af,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,42a93864e70347eea74e22c6b035697d,046042edd594456e9427adbc2409c6af,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,a76fa623138e41b7ba5aab3b9d69dbb4,1e537bbf0c644bed999c9759cdbd04c2,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,a1b85695879849539c7e28ba90694fa3,1e537bbf0c644bed999c9759cdbd04c2,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,14bca13057344b6f934f24fbe1410333,1e537bbf0c644bed999c9759cdbd04c2,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,3114cbb45b104b20aaac12e1d7b04a8d,1e537bbf0c644bed999c9759cdbd04c2,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,88652f28c42a480bbce6ac016c5867f3,1e537bbf0c644bed999c9759cdbd04c2,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,12bbcf12ef3545229c78766f6c6748d7,1e537bbf0c644bed999c9759cdbd04c2,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,8d2c4161f1ef487fbf0c405e023b97c0,1e537bbf0c644bed999c9759cdbd04c2,,path_analyze.page.depth_1,1,xss_candidate,,path_crawl_page,0.66,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present; interactive html page; html response lacks csp signal
20260430_224202,62dad701ef0445fda3ec2df5bb58841a,8d2c4161f1ef487fbf0c405e023b97c0,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,e4c171b001ec41ba94e0116f669e3b58,8d2c4161f1ef487fbf0c405e023b97c0,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,d956c46c66154952a07147b65765ee64,8d2c4161f1ef487fbf0c405e023b97c0,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,4dd33cad2a8a47688f6c11291f982766,d956c46c66154952a07147b65765ee64,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,9779a5b403104b33aa0e880b2297f767,d956c46c66154952a07147b65765ee64,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,26df97e3a64544d2aaaa2dbe3401078a,d956c46c66154952a07147b65765ee64,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,7fc3d3ba03f5440b99732115900478d3,9779a5b403104b33aa0e880b2297f767,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,665ff18a18cc4db3ae8cfd70b272cd21,26df97e3a64544d2aaaa2dbe3401078a,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,6a5a0955f8d548fcb616fe5905cdc342,26df97e3a64544d2aaaa2dbe3401078a,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,591ce889720a4dcfbdad32dac9b75a65,7fc3d3ba03f5440b99732115900478d3,,path_analyze.form_depth_1,1,xss_candidate,,path_candidate,0.32,False,,run_xss_scan,authenticated context can support object comparison; reflective input names present
20260430_224202,713f8f8be1884b8fb7e1474ee4aaa033,591ce889720a4dcfbdad32dac9b75a65,,path_analyze.page.depth_2,1,header_misconfiguration_candidate,,path_crawl_page,0.46,False,,run_header_scan,authenticated context can support object comparison; reflective input names present; html response lacks csp signal; html response has weak security header coverage
multi_full_20260430_232210_0004,db64a07a5a7148608eb6016808d5d5df,,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,html response lacks csp signal; override style request header present; html response has weak security header coverage; server banner disclosed
multi_full_20260430_232210_0006,47e3b6a23cf241169bd495b3bcaf1cb0,,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,response exposes filesystem paths; override style request header present; server banner disclosed
multi_full_20260430_232210_0003,e28a78aede774b24b33fe694540e7142,,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,override style request header present; server banner disclosed
multi_full_20260430_232210_0001,ded367bc255345f2b62b10517cad521b,,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,html response lacks csp signal; override style request header present; server banner disclosed
multi_full_20260430_232210_0002,b1e39f4a0abf41b5b128b97e5f1349d3,,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,html response lacks csp signal; response exposes filesystem paths; override style request header present; html response has weak security header coverage
multi_full_20260430_232210_0005,8a2c856826524ef699e15609064f8e97,,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,override style request header present; server banner disclosed
multi_full_20260430_232210_0004,e88b0a4c258b4230912ae7d0c4bf112f,db64a07a5a7148608eb6016808d5d5df,,recon.track_redirects,1,header_injection_candidate,,passive_trace,0.74,False,,run_header_scan,authenticated context can support object comparison; html response lacks csp signal; response exposes filesystem paths; override style request header present
